CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
72031051002,1495,0,0,30,30,1525
72031051102,1549,8,0,165,173,1722
72031051103,380,160,0,383,543,923
72031051104,243,34,0,554,588,831
72031980003,30,172,0,0,172,202
72033020200,1195,2,0,172,174,1369
72033020302,17,14,0,574,588,605
72033020422,48,0,0,802,802,850
72033020423,95,20,1,791,812,907
72033020425,30,297,0,120,417,447
72033020426,47,74,0,0,74,121
72033020428,179,154,0,1252,1406,1585
72033020500,23,0,0,1311,1311,1334
72033980001,131,0,0,0,0,131
72033980003,140,0,0,0,0,140
72033980004,31,0,0,0,0,31
72033980005,21,0,0,24,24,45
72033980006,2,0,0,1,1,3
72033980007,32,0,0,0,0,32
72035260100,2411,0,0,1042,1042,3453
72035260201,79,0,0,860,860,939
72035260202,212,15,0,1121,1136,1348
72035260300,320,71,0,889,960,1280
72035260400,1324,0,0,385,385,1709
72035260500,153,14,0,945,959,1112
72035260600,122,109,0,362,471,593
72035260700,95,330,0,149,479,574
72035260800,155,144,0,453,597,752
72035260901,524,60,0,721,781,1305
72035260902,1509,0,0,161,161,1670
72037160201,525,0,0,1337,1337,1862
72037160202,1598,0,0,208,208,1806
72037160400,2105,11,0,1208,1219,3324
72037990000,2,0,0,0,0,2
72039955600,1778,4,0,224,228,2006
72039955700,283,143,0,551,694,977
72039955800,1517,5,0,618,623,2140
72039955900,2199,0,0,0,0,2199
72041240101,515,0,0,1375,1375,1890
72041240102,973,0,0,458,458,1431
72041240201,1370,0,0,188,188,1558
72041240202,1552,4,0,226,230,1782
72041240300,446,0,0,348,348,794
72041240401,825,1,0,888,889,1714
72041240402,1175,0,0,543,543,1718
72041240500,410,60,0,527,587,997
72041240601,1236,0,0,655,655,1891
72041240602,1063,0,0,550,550,1613
72043953900,1423,0,0,0,0,1423
72043954000,1545,0,0,206,206,1751
72043954100,143,295,0,186,481,624
72043954200,141,113,0,1221,1334,1475
72043954300,146,543,0,58,601,747
72043954400,25,30,0,534,564,589
72043954500,2659,0,0,859,859,3518
72043954600,1436,0,76,365,441,1877
72043954700,2265,14,0,699,713,2978
72045951700,1521,0,0,74,74,1595
72045951800,1083,0,0,756,756,1839
72045951900,114,39,0,408,447,561
72045952000,85,49,0,359,408,493
72045952100,1573,0,0,172,172,1745
72047530100,1023,0,0,296,296,1319
72047530200,1431,0,0,631,631,2062
72047530300,387,0,0,731,731,1118
72047530400,1766,0,0,643,643,2409
72047530500,2627,0,0,243,243,2870
72047530600,2766,0,0,134,134,2900
72049950500,962,60,0,112,172,1134
72049990501,1,0,0,0,0,1
72051540100,63,0,0,892,892,955
72051540200,307,6,511,919,1436,1743
72051540300,128,0,0,476,476,604
72051540401,84,0,0,1097,1097,1181
72051540402,141,0,1265,865,2130,2271
72051540500,200,157,0,2345,2502,2702
